M_planet (M_Earth),M_planet (kg),Pressure (bar),Total Delta-V (km/s)
9.131262e-01,5.453190e+24,7.278954e+00,1.270753e+01
9.131262e-01,5.453190e+24,8.531679e+00,1.277607e+01
9.131262e-01,5.453190e+24,1.000000e+01,1.285540e+01
9.845231e-01,5.879572e+24,1.000000e-01,1.262368e+01
9.845231e-01,5.879572e+24,1.172102e-01,1.262464e+01
9.845231e-01,5.879572e+24,1.373824e-01,1.262575e+01
9.845231e-01,5.879572e+24,1.610262e-01,1.262707e+01
9.845231e-01,5.879572e+24,1.887392e-01,1.262860e+01
9.845231e-01,5.879572e+24,2.212216e-01,1.263040e+01
9.845231e-01,5.879572e+24,2.592944e-01,1.263251e+01
9.845231e-01,5.879572e+24,3.039195e-01,1.263498e+01
9.845231e-01,5.879572e+24,3.562248e-01,1.263787e+01
9.845231e-01,5.879572e+24,4.175319e-01,1.264125e+01
9.845231e-01,5.879572e+24,4.893901e-01,1.264520e+01
9.845231e-01,5.879572e+24,5.736153e-01,1.264983e+01
9.845231e-01,5.879572e+24,6.723358e-01,1.265524e+01
9.845231e-01,5.879572e+24,7.880463e-01,1.266157e+01
9.845231e-01,5.879572e+24,9.236709e-01,1.266896e+01
9.845231e-01,5.879572e+24,1.000000e+00,1.267310e+01
9.845231e-01,5.879572e+24,1.082637e+00,1.267759e+01
9.845231e-01,5.879572e+24,1.268961e+00,1.268766e+01
9.845231e-01,5.879572e+24,1.487352e+00,1.269940e+01
9.845231e-01,5.879572e+24,1.743329e+00,1.271307e+01
9.845231e-01,5.879572e+24,2.043360e+00,1.272899e+01
9.845231e-01,5.879572e+24,2.395027e+00,1.274748e+01
9.845231e-01,5.879572e+24,2.807216e+00,1.276893e+01
9.845231e-01,5.879572e+24,3.290345e+00,1.279376e+01
9.845231e-01,5.879572e+24,3.856620e+00,1.282246e+01
9.845231e-01,5.879572e+24,4.520354e+00,1.285551e+01
9.845231e-01,5.879572e+24,5.298317e+00,1.289345e+01
9.845231e-01,5.879572e+24,6.210169e+00,1.293683e+01
9.845231e-01,5.879572e+24,7.278954e+00,1.300756e+01
9.845231e-01,5.879572e+24,8.531679e+00,1.307175e+01
9.845231e-01,5.879572e+24,1.000000e+01,1.314610e+01
1.061503e+00,6.339293e+24,1.000000e-01,1.295929e+01
1.061503e+00,6.339293e+24,1.172102e-01,1.296018e+01
1.061503e+00,6.339293e+24,1.373824e-01,1.296122e+01
1.061503e+00,6.339293e+24,1.610262e-01,1.296244e+01
1.061503e+00,6.339293e+24,1.887392e-01,1.296387e+01
1.061503e+00,6.339293e+24,2.212216e-01,1.296555e+01
1.061503e+00,6.339293e+24,2.592944e-01,1.296751e+01
1.061503e+00,6.339293e+24,3.039195e-01,1.296981e+01
1.061503e+00,6.339293e+24,3.562248e-01,1.297250e+01
1.061503e+00,6.339293e+24,4.175319e-01,1.297564e+01
1.061503e+00,6.339293e+24,4.893901e-01,1.297933e+01
1.061503e+00,6.339293e+24,5.736153e-01,1.298363e+01
1.061503e+00,6.339293e+24,6.723358e-01,1.298867e+01
1.061503e+00,6.339293e+24,7.880463e-01,1.299456e+01
1.061503e+00,6.339293e+24,9.236709e-01,1.300143e+01
1.061503e+00,6.339293e+24,1.000000e+00,1.300529e+01
1.061503e+00,6.339293e+24,1.082637e+00,1.300946e+01
1.061503e+00,6.339293e+24,1.268961e+00,1.301883e+01
1.061503e+00,6.339293e+24,1.487352e+00,1.302975e+01
1.061503e+00,6.339293e+24,1.743329e+00,1.304246e+01
1.061503e+00,6.339293e+24,2.043360e+00,1.305725e+01
1.061503e+00,6.339293e+24,2.395027e+00,1.307442e+01
1.061503e+00,6.339293e+24,2.807216e+00,1.309434e+01
1.061503e+00,6.339293e+24,3.290345e+00,1.311739e+01
1.061503e+00,6.339293e+24,3.856620e+00,1.314399e+01
1.061503e+00,6.339293e+24,4.520354e+00,1.317462e+01
1.061503e+00,6.339293e+24,5.298317e+00,1.320974e+01
