M_planet (M_Earth),M_planet (kg),Pressure (bar),Feasible,Launch Mass (kg),Num Stages,Mission Reliability
8.469070e-01,5.057729e+24,1.743329e+00,1,3.397587e+04,2,0.940900
8.469070e-01,5.057729e+24,2.043360e+00,1,3.420874e+04,2,0.940900
8.469070e-01,5.057729e+24,2.395027e+00,1,3.448194e+04,2,0.940900
8.469070e-01,5.057729e+24,2.807216e+00,1,3.480244e+04,2,0.940900
8.469070e-01,5.057729e+24,3.290345e+00,1,3.517841e+04,2,0.940900
8.469070e-01,5.057729e+24,3.856620e+00,1,3.561935e+04,2,0.940900
8.469070e-01,5.057729e+24,4.520354e+00,1,3.613631e+04,2,0.940900
8.469070e-01,5.057729e+24,5.298317e+00,1,3.674204e+04,2,0.940900
8.469070e-01,5.057729e+24,6.210169e+00,1,3.745108e+04,2,0.940900
8.469070e-01,5.057729e+24,7.278954e+00,1,3.827981e+04,2,0.940900
8.469070e-01,5.057729e+24,8.531679e+00,1,3.967081e+04,2,0.940900
8.469070e-01,5.057729e+24,1.000000e+01,1,4.098714e+04,2,0.940900
9.131262e-01,5.453190e+24,1.000000e-01,1,3.684823e+04,2,0.940900
9.131262e-01,5.453190e+24,1.172102e-01,1,3.686255e+04,2,0.940900
9.131262e-01,5.453190e+24,1.373824e-01,1,3.687933e+04,2,0.940900
9.131262e-01,5.453190e+24,1.610262e-01,1,3.689900e+04,2,0.940900
9.131262e-01,5.453190e+24,1.887392e-01,1,3.692205e+04,2,0.940900
9.131262e-01,5.453190e+24,2.212216e-01,1,3.694908e+04,2,0.940900
9.131262e-01,5.453190e+24,2.592944e-01,1,3.698076e+04,2,0.940900
9.131262e-01,5.453190e+24,3.039195e-01,1,3.701790e+04,2,0.940900
9.131262e-01,5.453190e+24,3.562248e-01,1,3.706144e+04,2,0.940900
9.131262e-01,5.453190e+24,4.175319e-01,1,3.711248e+04,2,0.940900
9.131262e-01,5.453190e+24,4.893901e-01,1,3.717231e+04,2,0.940900
9.131262e-01,5.453190e+24,5.736153e-01,1,3.724246e+04,2,0.940900
9.131262e-01,5.453190e+24,6.723358e-01,1,3.732470e+04,2,0.940900
9.131262e-01,5.453190e+24,7.880463e-01,1,3.742111e+04,2,0.940900
9.131262e-01,5.453190e+24,9.236709e-01,1,3.753415e+04,2,0.940900
9.131262e-01,5.453190e+24,1.000000e+00,1,3.759778e+04,2,0.940900
9.131262e-01,5.453190e+24,1.082637e+00,1,3.766669e+04,2,0.940900
9.131262e-01,5.453190e+24,1.268961e+00,1,3.782208e+04,2,0.940900
9.131262e-01,5.453190e+24,1.487352e+00,1,3.800428e+04,2,0.940900
9.131262e-01,5.453190e+24,1.743329e+00,1,3.821791e+04,2,0.940900
9.131262e-01,5.453190e+24,2.043360e+00,1,3.846838e+04,2,0.940900
9.131262e-01,5.453190e+24,2.395027e+00,1,3.876201e+04,2,0.940900
9.131262e-01,5.453190e+24,2.807216e+00,1,3.910621e+04,2,0.940900
9.131262e-01,5.453190e+24,3.290345e+00,1,3.950958e+04,2,0.940900
9.131262e-01,5.453190e+24,3.856620e+00,1,3.998213e+04,2,0.940900
9.131262e-01,5.453190e+24,4.520354e+00,1,4.053539e+04,2,0.940900
9.131262e-01,5.453190e+24,5.298317e+00,1,4.118260e+04,2,0.940900
9.131262e-01,5.453190e+24,6.210169e+00,1,4.193874e+04,2,0.940900
9.131262e-01,5.453190e+24,7.278954e+00,1,4.316980e+04,2,0.940900
9.131262e-01,5.453190e+24,8.531679e+00,1,4.434888e+04,2,0.940900
9.131262e-01,5.453190e+24,1.000000e+01,1,4.576276e+04,2,0.940900
9.845231e-01,5.879572e+24,1.000000e-01,1,4.177855e+04,2,0.940900
9.845231e-01,5.879572e+24,1.172102e-01,1,4.179410e+04,2,0.940900
9.845231e-01,5.879572e+24,1.373824e-01,1,4.181232e+04,2,0.940900
9.845231e-01,5.879572e+24,1.610262e-01,1,4.183369e+04,2,0.940900
9.845231e-01,5.879572e+24,1.887392e-01,1,4.185873e+04,2,0.940900
9.845231e-01,5.879572e+24,2.212216e-01,1,4.188808e+04,2,0.940900
9.845231e-01,5.879572e+24,2.592944e-01,1,4.192248e+04,2,0.940900
9.845231e-01,5.879572e+24,3.039195e-01,1,4.196281e+04,2,0.940900
9.845231e-01,5.879572e+24,3.562248e-01,1,4.201008e+04,2,0.940900
9.845231e-01,5.879572e+24,4.175319e-01,1,4.206549e+04,2,0.940900
9.845231e-01,5.879572e+24,4.893901e-01,1,4.213043e+04,2,0.940900
9.845231e-01,5.879572e+24,5.736153e-01,1,4.220655e+04,2,0.940900
9.845231e-01,5.879572e+24,6.723358e-01,1,4.229578e+04,2,0.940900
9.845231e-01,5.879572e+24,7.880463e-01,1,4.240037e+04,2,0.940900
9.845231e-01,5.879572e+24,9.236709e-01,1,4.252297e+04,2,0.940900
9.845231e-01,5.879572e+24,1.000000e+00,1,4.259196e+04,2,0.940900
9.845231e-01,5.879572e+24,1.082637e+00,1,4.266666e+04,2,0.940900
9.845231e-01,5.879572e+24,1.268961e+00,1,4.283507e+04,2,0.940900
