M_planet (M_Earth),M_planet (kg),Pressure (bar),Launch Mass (tons)
1.233989e+00,7.369381e+24,1.000000e-01,6.367912e+01
1.233989e+00,7.369381e+24,1.172102e-01,6.369996e+01
1.233989e+00,7.369381e+24,1.373824e-01,6.372439e+01
1.233989e+00,7.369381e+24,1.610262e-01,6.375302e+01
1.233989e+00,7.369381e+24,1.887392e-01,6.378657e+01
1.233989e+00,7.369381e+24,2.212216e-01,6.382588e+01
1.233989e+00,7.369381e+24,2.592944e-01,6.387196e+01
1.233989e+00,7.369381e+24,3.039195e-01,6.392595e+01
1.233989e+00,7.369381e+24,3.562248e-01,6.398922e+01
1.233989e+00,7.369381e+24,4.175319e-01,6.406335e+01
1.233989e+00,7.369381e+24,4.893901e-01,6.415020e+01
1.233989e+00,7.369381e+24,5.736153e-01,6.425195e+01
1.233989e+00,7.369381e+24,6.723358e-01,6.437115e+01
1.233989e+00,7.369381e+24,7.880463e-01,6.451077e+01
1.233989e+00,7.369381e+24,9.236709e-01,6.467429e+01
1.233989e+00,7.369381e+24,1.000000e+00,6.476625e+01
1.233989e+00,7.369381e+24,1.082637e+00,6.486576e+01
1.233989e+00,7.369381e+24,1.268961e+00,6.508991e+01
1.233989e+00,7.369381e+24,1.487352e+00,6.535226e+01
1.233989e+00,7.369381e+24,1.743329e+00,6.565922e+01
1.233989e+00,7.369381e+24,2.043360e+00,6.601820e+01
1.233989e+00,7.369381e+24,2.395027e+00,6.643781e+01
1.233989e+00,7.369381e+24,2.807216e+00,6.692795e+01
1.233989e+00,7.369381e+24,3.290345e+00,6.749994e+01
1.233989e+00,7.369381e+24,3.856620e+00,6.816668e+01
1.233989e+00,7.369381e+24,4.520354e+00,6.894263e+01
1.233989e+00,7.369381e+24,5.298317e+00,7.020603e+01
1.233989e+00,7.369381e+24,6.210169e+00,7.139953e+01
1.233989e+00,7.369381e+24,7.278954e+00,7.281861e+01
1.233989e+00,7.369381e+24,8.531679e+00,7.451088e+01
1.233989e+00,7.369381e+24,1.000000e+01,7.655621e+01
1.330474e+00,7.945590e+24,1.000000e-01,7.461072e+01
1.330474e+00,7.945590e+24,1.172102e-01,7.463413e+01
1.330474e+00,7.945590e+24,1.373824e-01,7.466156e+01
1.330474e+00,7.945590e+24,1.610262e-01,7.469371e+01
1.330474e+00,7.945590e+24,1.887392e-01,7.473138e+01
1.330474e+00,7.945590e+24,2.212216e-01,7.477553e+01
1.330474e+00,7.945590e+24,2.592944e-01,7.482725e+01
1.330474e+00,7.945590e+24,3.039195e-01,7.488786e+01
1.330474e+00,7.945590e+24,3.562248e-01,7.495888e+01
1.330474e+00,7.945590e+24,4.175319e-01,7.504207e+01
1.330474e+00,7.945590e+24,4.893901e-01,7.513953e+01
1.330474e+00,7.945590e+24,5.736153e-01,7.525369e+01
1.330474e+00,7.945590e+24,6.723358e-01,7.538740e+01
1.330474e+00,7.945590e+24,7.880463e-01,7.554396e+01
1.330474e+00,7.945590e+24,9.236709e-01,7.572727e+01
1.330474e+00,7.945590e+24,1.000000e+00,7.583034e+01
1.330474e+00,7.945590e+24,1.082637e+00,7.594184e+01
1.330474e+00,7.945590e+24,1.268961e+00,7.619293e+01
1.330474e+00,7.945590e+24,1.487352e+00,7.648665e+01
1.330474e+00,7.945590e+24,1.743329e+00,7.683011e+01
1.330474e+00,7.945590e+24,2.043360e+00,7.723150e+01
1.330474e+00,7.945590e+24,2.395027e+00,7.770029e+01
1.330474e+00,7.945590e+24,2.807216e+00,7.824731e+01
1.330474e+00,7.945590e+24,3.290345e+00,7.888493e+01
1.330474e+00,7.945590e+24,3.856620e+00,7.962709e+01
1.330474e+00,7.945590e+24,4.520354e+00,8.080589e+01
1.330474e+00,7.945590e+24,5.298317e+00,8.193383e+01
1.330474e+00,7.945590e+24,6.210169e+00,8.328031e+01
1.330474e+00,7.945590e+24,7.278954e+00,8.487180e+01
