Planetary Mass (M_Earth),Planetary Mass (kg),Magnetic Reynolds Number,log10_Rm,above_Rm_crit,above_Rm_robust
17.493718592964825,1.0447248743718594e+26,5072.8602736880885,3.7052529003221455,True,True
17.593969849246232,1.0507118793969851e+26,5090.777473583371,3.706784113712455,True,True
17.69422110552764,1.0566988844221106e+26,5108.65561423001,3.7083066269177913,True,True
17.794472361809046,1.0626858894472363e+26,5126.4950013579455,3.709820538246815,True,True
17.894723618090453,1.068672894472362e+26,5144.295936596921,3.7113259443512683,True,True
17.99497487437186,1.0746598994974876e+26,5162.058717554112,3.712822940263005,True,True
18.095226130653266,1.080646904522613e+26,5179.7836378898555,3.714311619429986,True,True
18.195477386934673,1.0866339095477387e+26,5197.470987391545,3.7157920737512846,True,True
18.29572864321608,1.0926209145728644e+26,5215.12105204576,3.7172643936111296,True,True
18.395979899497487,1.0986079195979899e+26,5232.734114108624,3.718728667912015,True,True
18.496231155778894,1.1045949246231156e+26,5250.310452174533,3.720184984106913,True,True
18.5964824120603,1.1105819296482412e+26,5267.850341243213,3.7216334282306165,True,True
18.696733668341707,1.1165689346733669e+26,5285.354052785221,3.7230740849302384,True,True
18.796984924623114,1.1225559396984924e+26,5302.82185480589,3.7245070374948925,True,True
18.897236180904525,1.1285429447236182e+26,5320.254011907796,3.7259323678845915,True,True
18.99748743718593,1.1345299497487439e+26,5337.650785351759,3.727350156758374,True,True
19.09773869346734,1.1405169547738695e+26,5355.012433116444,3.7287604835016928,True,True
19.197989949748745,1.1465039597989952e+26,5372.3392099566,3.7301634262530916,True,True
19.298241206030152,1.1524909648241207e+26,5389.631367459942,3.73155906193018,True,True
19.39849246231156,1.1584779698492463e+26,5406.889154102764,3.7329474662549362,True,True
19.498743718592966,1.164464974874372e+26,5424.11281530428,3.7343287137783654,True,True
19.598994974874373,1.1704519798994977e+26,5441.3025934797515,3.7357028779045134,True,True
19.69924623115578,1.1764389849246232e+26,5458.458728092412,3.7370700309138805,True,True
19.799497487437186,1.1824259899497488e+26,5475.581455704242,3.73843024398623,True,True
19.899748743718593,1.1884129949748745e+26,5492.671010025628,3.739783587222829,True,True
20.0,1.1944000000000002e+26,5509.727621963899,3.741130129668126,True,True
